lab_prod,ndc,rxcui,atc4,g_rxcui,name,concept_name
680306614,68030661401,"","","","",""
194589591,19458959101,"","","","",""
520410050,52041005013,"","","","",""
755370303,75537030381,"","","","",""
641810029,64181002900,"","","","",""
366520301,36652030108,"","","","",""
084962915,08496291501,"","","","",""
629911215,62991121501,"","","","",""
754500317,75450031701,"","","","",""
082903256,08290325657,"","","","",""
118223125,11822312580,"","","","",""
235130643,23513064309,"","","","",""
001350117,00135011784,"","","","",""
328490707,32849070701,"","","","",""
089702010,08970201031,"","","","",""
119170052,11917005253,"","","","",""
493260346,49326034650,"","","","",""
082143527,08214352714,"","","","",""
383960308,38396030800,"","","","",""
085480434,08548043437,"","","","",""
085170657,08517065722,"","","","",""
083263010,08326301001,"","","","",""
001937182,00193718201,"","","","",""
082871260,08287126016,"","","","",""
372056081,37205608104,"","","","",""
990730420,99073042050,"","","","",""
496140625,49614062597,"","","","",""
590850259,59085025904,"","","","",""
085221311,08522131100,"","","","",""
085220319,08522031914,"","","","",""
123330902,12333090270,"","","","",""
384150300,38415030030,"","","","",""
083262810,08326281001,"","","","",""
597070131,59707013101,"","","","",""
517240005,51724000504,"","","","",""
084633203,08463320350,"","","","",""
084637029,08463702930,"","","","",""
084740106,08474010678,"","","","",""
082714500,08271450000,"","","","",""
509240415,50924041501,"","","","",""
990730830,99073083003,"","","","",""
082143590,08214359001,"","","","",""
660040055,66004005501,"","","","",""
085480435,08548043523,"","","","",""
372056082,37205608204,"","","","",""
755370008,75537000860,"","","","",""
084962955,08496295501,"","","","",""
938150700,93815070043,"","","","",""
082257900,08225790000,"","","","",""
083210811,08321081128,"","","","",""
517740508,51774050800,"","","","",""
496140238,49614023855,"","","","",""
877010739,87701073918,"","","","",""
597070129,59707012950,"","","","",""
118223315,11822331560,"","","","",""
624519998,62451999810,"","","","",""
082143529,08214352901,"","","","",""
621070067,62107006701,"","","","",""
089701008,08970100864,"","","","",""
383960521,38396052175,"","","","",""
084700465,08470046501,"","","","",""
082220725,08222072597,"","","","",""
109390331,10939033122,"","","","",""
081960102,08196010250,"","","","",""
509240083,50924008310,"","","","",""
287850101,28785010150,"","","","",""
383960315,38396031506,"","","","",""
597070301,59707030101,"","","","",""
005011014,00501101403,"","","","",""
101190020,10119002009,"","","","",""
940460001,94046000113,"","","","",""
084963116,08496311601,"","","","",""
538850538,53885053810,"","","","",""
082710351,08271035100,"","","","",""
754500316,75450031601,"","","","",""
118220331,11822033156,"","","","",""
504844204,50484420400,"","","","",""
538090302,53809030260,"","","","",""
383960312,38396031225,"","","","",""
082840121,08284012102,"","","","",""
411630875,41163087564,"","","","",""
110170250,11017025035,"","","","",""
082220721,08222072191,"","","","",""
119170063,11917006333,"","","","",""
082900094,08290009412,"","","","",""
109390591,10939059111,"","","","",""
492600503,49260050319,"","","","",""
188370351,18837035130,"","","","",""
085871835,08587183530,"","","","",""
383960323,38396032325,"","","","",""
755370490,75537049070,"","","","",""
877010404,87701040410,"","","","",""
610590353,61059035301,"","","","",""
494527810,49452781002,"","","","",""
754500318,75450031801,"","","","",""
123330903,12333090370,"","","","",""
081890016,08189001666,"","","","",""
755370311,75537031111,"","","","",""
680160900,68016090055,"","","","",""
083263001,08326300150,"","","","",""
504285729,50428572982,"","","","",""
938150985,93815098549,"","","","",""
081370032,08137003239,"","","","",""
660040850,66004085004,"","","","",""
119170073,11917007346,"","","","",""
496140401,49614040126,"","","","",""
474690161,47469016109,"","","","",""
383960304,38396030416,"","","","",""
118223127,11822312780,"","","","",""
409860021,40986002138,"","","","",""
118220236,11822023660,"","","","",""
109390094,10939009411,"","","","",""
082714504,08271450400,"","","","",""
755370314,75537031463,"","","","",""
527350812,52735081206,"","","","",""
493260509,49326050915,"","","","",""
795730011,79573001115,"","","","",""
384850020,38485002090,"","","","",""
"","","","","","",""
083301312,08330131201,"","","","",""
082713522,08271352200,"","","","",""
962950112,96295011247,"","","","",""
118220004,11822000470,"","","","",""
378670992,37867099248,"","","","",""
084740105,08474010578,"","","","",""
084740102,08474010278,"","","","",""
109390171,10939017144,"","","","",""
414055303,41405530310,"","","","",""
082220741,08222074195,"","","","",""
962950108,96295010831,"","","","",""
538790200,53879020060,"","","","",""
962950115,96295011523,"","","","",""
084840518,08484051850,"","","","",""
504281956,50428195666,"","","","",""
493260440,49326044090,"","","","",""
414051318,41405131810,"","","","",""
082713520,08271352000,"","","","",""
084702030,08470203001,"","","","",""
538090308,53809030801,"","","","",""
119170058,11917005801,"","","","",""
088845404,08884540400,"","","","",""
081370061,08137006105,"","","","",""
548590708,54859070860,"","","","",""
490350462,49035046220,"","","","",""
109390580,10939058011,"","","","",""
680160701,68016070105,"","","","",""
088815019,08881501970,"","","","",""
877010623,87701062340,"","","","",""
080803002,08080300290,"","","","",""
409850223,40985022314,"","","","",""
660040973,66004097309,"","","","",""
496140626,49614062678,"","","","",""
081370044,08137004431,"","","","",""
081370046,08137004672,"","","","",""
684360130,68436013090,"","","","",""
119170086,11917008676,"","","","",""
084967915,08496791501,"","","","",""
000450444,00045044451,"","","","",""
123339511,12333951105,"","","","",""
081370056,08137005644,"","","","",""
754500315,75450031501,"","","","",""
081370057,08137005705,"","","","",""
411630263,41163026312,"","","","",""
081896050,08189605000,"","","","",""
084749259,08474925900,"","","","",""
538090309,53809030901,"","","","",""
316040016,31604001630,"","","","",""
548681369,54868136900,"","","","",""
894110501,89411050117,"","","","",""
754500313,75450031301,"","","","",""
082713523,08271352300,"","","","",""
938150988,93815098895,"","","","",""
493260922,49326092215,"","","","",""
383960423,38396042390,"","","","",""
383960425,38396042590,"","","","",""
084804900,08480490050,"","","","",""
877010807,87701080759,"","","","",""
198100002,19810000296,"","","","",""
504283733,50428373308,"","","","",""
621070069,62107006901,"","","","",""
000450504,00045050484,"","","","",""
496140559,49614055971,"","","","",""
243850217,24385021752,"","","","",""
504286185,50428618546,"","","","",""
504281667,50428166751,"","","","",""
080802003,08080200300,"","","","",""
370000146,37000014614,"","","","",""
115090050,11509005007,"","","","",""
080806013,08080601358,"","","","",""
088845405,08884540500,"","","","",""
307680039,30768003996,"","","","",""
372056083,37205608304,"","","","",""
798540207,79854020787,"","","","",""
083968009,08396800900,"","","","",""
168370085,16837008523,"","","","",""
414051303,41405130310,"","","","",""
366520406,36652040618,"","","","",""
082140297,08214029727,"","","","",""
082713521,08271352100,"","","","",""
083968008,08396800800,"","","","",""
083968004,08396800400,"","","","",""
083968005,08396800500,"","","","",""
414150335,41415033577,"","","","",""
119170068,11917006877,"","","","",""
457370406,45737040660,"","","","",""
109390172,10939017244,"","","","",""
586592016,58659201603,"","","","",""
737960650,73796065036,"","","","",""
360000191,36000019167,"","","","",""
360000121,36000012110,"","","","",""
743120060,74312006005,"","","","",""
239000007,23900000731,"","","","",""
496140808,49614080829,"","","","",""
490220456,49022045671,"","","","",""
781120693,78112069345,"","","","",""
082140535,08214053501,"","","","",""
084291111,08429111101,"","","","",""
680304421,68030442101,"","","","",""
083800079,08380007917,"","","","",""
684550101,68455010148,"","","","",""
083968011,08396801100,"","","","",""
083968006,08396800600,"","","","",""
548685894,54868589400,"","","","",""
370000345,37000034563,"","","","",""
083301313,08330131301,"","","","",""
082140567,08214056717,"","","","",""
387030101,38703010150,"","","","",""
493260325,49326032560,"","","","",""
083263040,08326304001,"","","","",""
548590509,54859050904,"","","","",""
119170030,11917003095,"","","","",""
605690479,60569047904,"","","","",""
082250030,08225003020,"","","","",""
496140506,49614050662,"","","","",""
496140503,49614050302,"","","","",""
578660002,57866000201,"","","","",""
387030100,38703010050,"","","","",""
652430356,65243035609,"","","","",""
411670066,41167006620,"","","","",""
110170360,11017036016,"","","","",""
496140415,49614041510,"","","","",""
118450503,11845050301,"","","","",""
109390073,10939007301,"","","","",""
496140586,49614058687,"","","","",""
862270301,86227030105,"","","","",""
862270522,86227052205,"","","","",""
202540220,20254022004,"","","","",""
962950102,96295010284,"","","","",""
625593683,62559368303,"","","","",""
085173529,08517352936,"","","","",""
589800778,58980077881,"","","","",""
493260431,49326043190,"","","","",""
432920562,43292056299,"","","","",""
083301311,08330131101,"","","","",""
411670026,41167002670,"","","","",""
118220505,11822050541,"","","","",""
370000492,37000049206,"","","","",""
618083100,61808310005,"","","","",""
083210001,08321000123,"","","","",""
083177100,08317710050,"","","","",""
414055318,41405531810,"","","","",""
781120557,78112055751,"","","","",""
517240052,51724005204,"","","","",""
538790102,53879010216,"","","","",""
081370082,08137008207,"","","","",""
119170081,11917008173,"","","","",""
737960780,73796078000,"","","","",""
083968003,08396800300,"","","","",""
109390368,10939036811,"","","","",""
125390083,12539008304,"","","","",""
509240228,50924022805,"","","","",""
877010919,87701091936,"","","","",""
081370092,08137009217,"","","","",""
384150031,38415003129,"","","","",""
554220424,55422042416,"","","","",""
409850226,40985022687,"","","","",""
387030075,38703007501,"","","","",""
737960043,73796004322,"","","","",""
084843131,08484313105,"","","","",""
409850212,40985021228,"","","","",""
734620150,73462015013,"","","","",""
700740576,70074057617,"","","","",""
316040017,31604001787,"","","","",""
119170116,11917011678,"","","","",""
575150594,57515059439,"","","","",""
490220477,49022047719,"","","","",""
438200000,43820000008,"","","","",""
743120062,74312006272,"","","","",""
083177121,08317712100,"","","","",""
088817004,08881700408,"","","","",""
490220426,49022042695,"","","","",""
387030006,38703000661,"","","","",""
421670006,42167000630,"","","","",""
101580054,10158005404,"","","","",""
877010837,87701083799,"","","","",""
798540056,79854005698,"","","","",""
737960711,73796071142,"","","","",""
798540008,79854000893,"","","","",""
504282183,50428218362,"","","","",""
239000009,23900000962,"","","","",""
103560036,10356003601,"","","","",""
360000193,36000019303,"","","","",""
700740597,70074059709,"","","","",""
901660121,90166012122,"","","","",""
457370214,45737021416,"","","","",""
081370055,08137005569,"","","","",""
509240103,50924010310,"","","","",""
119170053,11917005348,"","","","",""
575150592,57515059219,"","","","",""
109390465,10939046533,"","","","",""
409850227,40985022722,"","","","",""
988260110,98826011039,"","","","",""
080808528,08080852801,"","","","",""
743120043,74312004349,"","","","",""
080804003,08080400300,"","","","",""
493260928,49326092815,"","","","",""
109390057,10939005701,"","","","",""
002993914,00299391408,"","","","",""
937640601,93764060158,"","","","",""
504283254,50428325409,"","","","",""
610590358,61059035891,"","","","",""
908910200,90891020018,"","","","",""
918990657,91899065772,"","","","",""
877010402,87701040263,"","","","",""
387030005,38703000523,"","","","",""
243850012,24385001265,"","","","",""
457370403,45737040360,"","","","",""
575999693,57599969301,"","","","",""
003631034,00363103472,"","","","",""
119170071,11917007158,"","","","",""
119170112,11917011250,"","","","",""
578669959,57866995902,"","","","",""
083969012,08396901234,"","","","",""
891340528,89134052802,"","","","",""
234902010,23490201001,"","","","",""
891340529,89134052902,"","","","",""
370000337,37000033710,"","","","",""
118450126,11845012639,"","","","",""
430720006,43072000650,"","","","",""
372050062,37205006289,"","","","",""
528000498,52800049856,"","","","",""
892690001,89269000101,"","","","",""
608010000,60801000007,"","","","",""
357870000,35787000001,"","","","",""
109390282,10939028233,"","","","",""
561511813,56151181350,"","","","",""
891340620,89134062002,"","","","",""
084701042,08470104201,"","","","",""
109390575,10939057533,"","","","",""
119170137,11917013782,"","","","",""
119170138,11917013892,"","","","",""
360000125,36000012535,"","","","",""
504288479,50428847961,"","","","",""
080802002,08080200290,"","","","",""
084843129,08484312913,"","","","",""
118228939,11822893960,"","","","",""
432920559,43292055967,"","","","",""
411000805,41100080521,"","","","",""
597070029,59707002912,"","","","",""
430720004,43072000486,"","","","",""
531000008,53100000885,"","","","",""
705010042,70501004200,"","","","",""
151270011,15127001145,"","","","",""
154820560,15482056050,"","","","",""
409850222,40985022257,"","","","",""
474690160,47469016033,"","","","",""
089701001,08970100160,"","","","",""
084702029,08470202901,"","","","",""
355150901,35515090122,"","","","",""
059280050,05928005075,"","","","",""
008694629,00869462910,"","","","",""
119170117,11917011701,"","","","",""
084745925,08474592590,"","","","",""
118223503,11822350380,"","","","",""
350460007,35046000751,"","","","",""
154820420,15482042050,"","","","",""
504287977,50428797752,"","","","",""
929610016,92961001685,"","","","",""
504286962,50428696208,"","","","",""
538850006,53885000693,"","","","",""
360000194,36000019478,"","","","",""
496140628,49614062878,"","","","",""
504288589,50428858947,"","","","",""
084703829,08470382901,"","","","",""
548590707,54859070760,"","","","",""
528000482,52800048234,"","","","",""
504282520,50428252072,"","","","",""
083174601,08317460100,"","","","",""
438200060,43820006010,"","","","",""
496140807,49614080749,"","","","",""
370000119,37000011960,"","","","",""
350460002,35046000215,"","","","",""
368000348,36800034814,"","","","",""
119170145,11917014595,"","","","",""
457370408,45737040860,"","","","",""
387030001,38703000161,"","","","",""
411670041,41167004100,"","","","",""
940300002,94030000202,"","","","",""
165000538,16500053873,"","","","",""
504284599,50428459959,"","","","",""
118223729,11822372950,"","","","",""
080804302,08080430201,"","","","",""
387798706,38779870601,"","","","",""
384150308,38415030830,"","","","",""
392780422,39278042204,"","","","",""
084962715,08496271501,"","","","",""
700740582,70074058298,"","","","",""
085803111,08580311101,"","","","",""
811310731,81131073163,"","","","",""
743120061,74312006131,"","","","",""
504282550,50428255042,"","","","",""
908910500,90891050001,"","","","",""
118450159,11845015956,"","","","",""
083175000,08317500050,"","","","",""
360000385,36000038536,"","","","",""
504287991,50428799144,"","","","",""
372050501,37205050172,"","","","",""
504288304,50428830474,"","","","",""
411630449,41163044927,"","","","",""
118225110,11822511070,"","","","",""
430720003,43072000370,"","","","",""
504288677,50428867739,"","","","",""
083175600,08317560050,"","","","",""
787420009,78742000992,"","","","",""
360000127,36000012778,"","","","",""
355150900,35515090023,"","","","",""
080803381,08080338100,"","","","",""
504288299,50428829925,"","","","",""
504288463,50428846387,"","","","",""
360000134,36000013406,"","","","",""
655970115,65597011530,1000000,C09CA; C08CA; C03AA,118463; 17767; 5487,olmesartan medoxomil; amlodipine; hydrochlorothiazide,amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]
655970116,65597011630,1000005,C09CA; C08CA; C03AA,118463; 17767; 5487,olmesartan medoxomil; amlodipine; hydrochlorothiazide,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]
003781049,00378104901,1000048,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 10 MG Oral Capsule
498840217,49884021710,1000048,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 10 MG Oral Capsule
005915629,00591562901,1000048,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 10 MG Oral Capsule
510790436,51079043620,1000048,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 10 MG Oral Capsule
604320651,60432065104,1000054,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 10 MG/ML Oral Solution
000939612,00093961212,1000054,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 10 MG/ML Oral Solution
548380512,54838051240,1000054,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 10 MG/ML Oral Solution
003786410,00378641001,1000058,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 100 MG Oral Capsule
498840221,49884022101,1000058,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 100 MG Oral Capsule
005915633,00591563301,1000058,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 100 MG Oral Capsule
510790651,51079065120,1000058,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 100 MG Oral Capsule
498840222,49884022201,1000064,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 150 MG Oral Capsule
003783125,00378312501,1000070,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 25 MG Oral Capsule
498840218,49884021801,1000070,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 25 MG Oral Capsule
005915630,00591563001,1000070,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 25 MG Oral Capsule
009041261,00904126161,1000070,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 25 MG Oral Capsule
007812801,00781280110,1000070,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 25 MG Oral Capsule
510790437,51079043720,1000070,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 25 MG Oral Capsule
003784250,00378425001,1000076,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 50 MG Oral Capsule
498840219,49884021901,1000076,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 50 MG Oral Capsule
005915631,00591563101,1000076,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 50 MG Oral Capsule
510790438,51079043820,1000076,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 50 MG Oral Capsule
000234290,00023429003,1000089,S01GX,1000082,alcaftadine,alcaftadine 2.5 MG/ML Ophthalmic Solution [Lastacaft]
000643600,00064360045,1000093,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin hydrochloride 50 MG/ML Topical Cream [Prudoxin]
103370804,10337080403,1000095,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin hydrochloride 50 MG/ML Topical Cream [Zonalon]
002471285,00247128530,1000095,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin hydrochloride 50 MG/ML Topical Cream [Zonalon]
624360523,62436052345,1000095,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin hydrochloride 50 MG/ML Topical Cream [Zonalon]
548683494,54868349400,1000095,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin hydrochloride 50 MG/ML Topical Cream [Zonalon]
003785375,00378537501,1000097,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 75 MG Oral Capsule
005915632,00591563201,1000097,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 75 MG Oral Capsule
498840220,49884022001,1000097,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 75 MG Oral Capsule
510790645,51079064520,1000097,D04AX; N06AA,3638; 3638,doxepin; doxepin,doxepin 75 MG Oral Capsule
597623742,59762374202,1000114,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,medroxyprogesterone acetate 10 MG Oral Tablet
005550779,00555077902,1000114,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,medroxyprogesterone acetate 10 MG Oral Tablet
000090050,00009005009,1000124,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,medroxyprogesterone acetate 10 MG Oral Tablet [Provera]
597624537,59762453701,1000126,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,1 ML medroxyprogesterone acetate 150 MG/ML Injection
007036801,00703680101,1000126,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,1 ML medroxyprogesterone acetate 150 MG/ML Injection
000090746,00009074630,1000128,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,1 ML medroxyprogesterone acetate 150 MG/ML Injection [Depo-Provera]
000090626,00009062601,1000133,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,medroxyprogesterone acetate 400 MG/ML Injectable Suspension [Depo-Provera]
005550872,00555087204,1000135,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,medroxyprogesterone acetate 2.5 MG Oral Tablet
597623740,59762374001,1000135,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,medroxyprogesterone acetate 2.5 MG Oral Tablet
000090064,00009006406,1000139,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,medroxyprogesterone acetate 2.5 MG Oral Tablet [Provera]
597623741,59762374101,1000141,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,medroxyprogesterone acetate 5 MG Oral Tablet
005550873,00555087302,1000141,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,medroxyprogesterone acetate 5 MG Oral Tablet
000090286,00009028603,1000145,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,medroxyprogesterone acetate 5 MG Oral Tablet [Provera]
007036811,00703681121,1000153,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe
597624538,59762453801,1000153,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe
000097376,00009737604,1000154,G03AC; G03DA; L02AB,6691; 6691; 6691,medroxyprogesterone; medroxyprogesterone; medroxyprogesterone,1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe [Depo-Provera]
651620398,65162039811,1000208,"","","",MULTIVITS W/MINERALS CAP/TAB (NO IRON)
005550211,00555021110,1000405,G03AC; G03DC,7514; 7514,norethindrone; norethindrone,norethindrone acetate 5 MG Oral Tablet
684620304,68462030450,1000405,G03AC; G03DC,7514; 7514,norethindrone; norethindrone,norethindrone acetate 5 MG Oral Tablet
651620475,65162047509,1000405,G03AC; G03DC,7514; 7514,norethindrone; norethindrone,norethindrone acetate 5 MG Oral Tablet
512850424,51285042410,1000407,G03AC; G03DC,7514; 7514,norethindrone; norethindrone,norethindrone acetate 5 MG Oral Tablet [Aygestin]
522680520,52268052001,1000480,"","","",{1 (Bisacodyl 5 MG Delayed Release Oral Tablet) / 1 (2000 ML) (POLYETHYLENE GLYCOL 3350 105 MG/ML / Potassium Chloride 0.00497 MEQ/ML / Sodium Bicarbonate 0.017 MEQ/ML / Sodium Chloride 0.0479 MEQ/ML Oral Solution [Halflytely]) } Pack [Halflytely and Bisacodyl Bowel Prep Reformulated Aug 2010]
522680523,52268052302,1000480,"","","",{1 (Bisacodyl 5 MG Delayed Release Oral Tablet) / 1 (2000 ML) (POLYETHYLENE GLYCOL 3350 105 MG/ML / Potassium Chloride 0.00497 MEQ/ML / Sodium Bicarbonate 0.017 MEQ/ML / Sodium Chloride 0.0479 MEQ/ML Oral Solution [Halflytely]) } Pack [Halflytely and Bisacodyl Bowel Prep Reformulated Aug 2010]
000462573,00046257306,1000487,G03CA; G03AC; G03DA; L02AB,4099; 6691; 6691; 6691,"estrogens, conjugated (USP); medroxyprogesterone; medroxyprogesterone; medroxyprogesterone","{14 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) / 14 (estrogens, conjugated (USP) 0.625 MG Oral Tablet) } Pack [Premphase 28 Day]"
000462579,00046257911,1000487,G03CA; G03AC; G03DA; L02AB,4099; 6691; 6691; 6691,"estrogens, conjugated (USP); medroxyprogesterone; medroxyprogesterone; medroxyprogesterone","{14 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) / 14 (estrogens, conjugated (USP) 0.625 MG Oral Tablet) } Pack [Premphase 28 Day]"
000462575,00046257512,1000487,G03CA; G03AC; G03DA; L02AB,4099; 6691; 6691; 6691,"estrogens, conjugated (USP); medroxyprogesterone; medroxyprogesterone; medroxyprogesterone","{14 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) / 14 (estrogens, conjugated (USP) 0.625 MG Oral Tablet) } Pack [Premphase 28 Day]"
000460938,00046093809,1000491,G03CA; G03AC; G03DA; L02AB,4099; 6691; 6691; 6691,"estrogens, conjugated (USP); medroxyprogesterone; medroxyprogesterone; medroxyprogesterone","{28 (estrogens, conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack [Prempro 0.3/1.5 28 Day]"
000461105,00046110511,1000491,G03CA; G03AC; G03DA; L02AB,4099; 6691; 6691; 6691,"estrogens, conjugated (USP); medroxyprogesterone; medroxyprogesterone; medroxyprogesterone","{28 (estrogens, conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack [Prempro 0.3/1.5 28 Day]"
